Country Name,state,value
"Korea, Dem. People’s Rep.",PRK,66.102
Portugal,PRT,77.3
Paraguay,PRY,70.594
Pacific island small states,PSS,67.2076038
Post-demographic dividend,PST,77.48233501
French Polynesia,PYF,73.908
Qatar,QAT,76.954
Romania,ROU,70.9
Russian Federation,RUS,65
Rwanda,RWA,59.494
South Asia,SAS,66.15312167
Saudi Arabia,SAU,72.737
Sudan,SDN,61.34
Senegal,SEN,63.574
Singapore,SGP,79.8
Solomon Islands,SLB,66.15
Sierra Leone,SLE,49.193
El Salvador,SLV,67.746
San Marino,SMR,
Somalia,SOM,53.12
Serbia,SRB,72.3
Sub-Saharan Africa (excluding high income),SSA,56.33689834
South Sudan,SSD,53.787
Sub-Saharan Africa,SSF,56.33816449
Small states,SST,65.94398083
Sao Tome and Principe,STP,64.21
Suriname,SUR,67.679
Slovak Republic,SVK,72.5
Slovenia,SVN,77.1
Sweden,SWE,79.9
Swaziland,SWZ,49.396
Sint Maarten (Dutch part),SXM,69.2
Seychelles,SYC,69.3
Syrian Arab Republic,SYR,65.322
Turks and Caicos Islands,TCA,
Chad,TCD,49.797
East Asia & Pacific (IDA & IBRD countries),TEA,71.81830067
Europe & Central Asia (IDA & IBRD countries),TEC,67.80877794
Togo,TGO,57.888
Thailand,THA,70.788
Tajikistan,TJK,65.826
Turkmenistan,TKM,61.215
Latin America & the Caribbean (IDA & IBRD countries),TLA,71.1711061
Middle East & North Africa (IDA & IBRD countries),TMN,69.86305958
Timor-Leste,TLS,66.206
Tonga,TON,69.628
South Asia (IDA & IBRD),TSA,66.15312167
Sub-Saharan Africa (IDA & IBRD countries),TSS,56.33816449
Trinidad and Tobago,TTO,66.747
Tunisia,TUN,71.8
Turkey,TUR,71.389
Tuvalu,TUV,
Tanzania,TZA,62.197
Uganda,UGA,55.648
Ukraine,UKR,66.11
Upper middle income,UMC,71.81360838
Uruguay,URY,73.184
United States,USA,76.4
Uzbekistan,UZB,64.841
St. Vincent and the Grenadines,VCT,70.646
"Venezuela, RB",VEN,69.875
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,76.4
Vietnam,VNM,70.615
Vanuatu,VUT,69.455
West Bank and Gaza,PSE,70.633
World,WLD,68.9518203
Samoa,WSM,69.882
"Yemen, Rep.",YEM,62.019
South Africa,ZAF,54.171
"Congo, Dem. Rep.",COD,56.457
Zambia,ZMB,56.896
Zimbabwe,ZWE,52.646
