Country Name,state,value
Jamaica,JAM,73.314
Jordan,JOR,72.418
Japan,JPN,80.5
Kazakhstan,KAZ,67.12
Kenya,KEN,59.851
Kyrgyz Republic,KGZ,66.5
Cambodia,KHM,66.224
Kiribati,KIR,62.819
St. Kitts and Nevis,KNA,
"Korea, Rep.",KOR,78.99
Kosovo,KSV,69
Kuwait,KWT,73.466
Latin America & Caribbean (excluding high income),LAC,71.49354438
Lao PDR,LAO,64.772
Lebanon,LBN,77.577
Liberia,LBR,59.871
Libya,LBY,68.941
St. Lucia,LCA,72.401
Latin America & Caribbean,LCN,71.78725146
Least developed countries: UN classification,LDC,61.7606035
Low income,LIC,59.74984274
Liechtenstein,LIE,80.7
Sri Lanka,LKA,71.507
Lower middle income,LMC,65.52903279
Low & middle income,LMY,67.74822414
Lesotho,LSO,49.584
Late-demographic dividend,LTE,72.84538783
Lithuania,LTU,68.6
Luxembourg,LUX,80.5
Latvia,LVA,69.7
"Macao SAR, China",MAC,78.437
St. Martin (French part),MAF,76.2
Morocco,MAR,73.02
Monaco,MCO,
Moldova,MDA,67.431
Madagascar,MDG,63.61
Maldives,MDV,75.806
Middle East & North Africa,MEA,71.06753655
Mexico,MEX,74.356
Marshall Islands,MHL,
Middle income,MIC,68.64866535
"Macedonia, FYR",MKD,73.098
Mali,MLI,58.177
Malta,MLT,79.6
Myanmar,MMR,63.852
Middle East & North Africa (excluding high income),MNA,70.29392721
Montenegro,MNE,74.069
Mongolia,MNG,65.28
Northern Mariana Islands,MNP,
Mozambique,MOZ,53.584
Mauritania,MRT,61.56
Mauritius,MUS,70.97
Malawi,MWI,61.747
Malaysia,MYS,72.43
North America,NAC,76.94333645
Namibia,NAM,62.148
New Caledonia,NCL,74.5
Niger,NER,60.578
Nigeria,NGA,52.425
Nicaragua,NIC,71.856
Netherlands,NLD,79.5
Norway,NOR,79.8
Nepal,NPL,68.212
Nauru,NRU,
New Zealand,NZL,79.6
OECD members,OED,77.55360483
Oman,OMN,75.069
Other small states,OSS,65.41514839
Pakistan,PAK,65.258
Panama,PAN,74.621
Peru,PER,71.947
Philippines,PHL,64.911
Palau,PLW,
Papua New Guinea,PNG,60.524
Poland,POL,73.4
Pre-demographic dividend,PRE,57.20126281
Puerto Rico,PRI,75.544
"Korea, Dem. People’s Rep.",PRK,66.662
Portugal,PRT,77.6
Paraguay,PRY,70.83
Pacific island small states,PSS,67.56529012
Post-demographic dividend,PST,77.87267269
French Polynesia,PYF,74.329
Qatar,QAT,77.349
Romania,ROU,71.6
Russian Federation,RUS,65
Rwanda,RWA,61.052
South Asia,SAS,66.75235427
Saudi Arabia,SAU,73.026
Sudan,SDN,61.98
Senegal,SEN,64.516
Singapore,SGP,80.5
Solomon Islands,SLB,66.523
Sierra Leone,SLE,50.35
El Salvador,SLV,68.297
San Marino,SMR,
Somalia,SOM,53.767
Serbia,SRB,72.9
Sub-Saharan Africa (excluding high income),SSA,57.2848492
South Sudan,SSD,54.731
Sub-Saharan Africa,SSF,57.28590809
Small states,SST,66.38729147
Sao Tome and Principe,STP,64.429
Suriname,SUR,68.029
Slovak Republic,SVK,73.3
Slovenia,SVN,77.3
Sweden,SWE,80.2
Swaziland,SWZ,49.624
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,68.4
Syrian Arab Republic,SYR,63.972
Turks and Caicos Islands,TCA,
Chad,TCD,50.508
East Asia & Pacific (IDA & IBRD countries),TEA,72.18751708
Europe & Central Asia (IDA & IBRD countries),TEC,68.22109789
Togo,TGO,58.948
Thailand,THA,71.143
Tajikistan,TJK,66.197
Turkmenistan,TKM,61.5
Latin America & the Caribbean (IDA & IBRD countries),TLA,71.65728695
Middle East & North Africa (IDA & IBRD countries),TMN,70.28568179
Timor-Leste,TLS,66.545
Tonga,TON,69.92
South Asia (IDA & IBRD),TSA,66.75235427
Sub-Saharan Africa (IDA & IBRD countries),TSS,57.28590809
Trinidad and Tobago,TTO,67.023
Tunisia,TUN,71.9
Turkey,TUR,71.984
Tuvalu,TUV,
Tanzania,TZA,63.54
Uganda,UGA,56.743
Ukraine,UKR,66.25
Upper middle income,UMC,72.23711466
Uruguay,URY,73.512
United States,USA,76.6
Uzbekistan,UZB,65.04
St. Vincent and the Grenadines,VCT,70.871
"Venezuela, RB",VEN,70.204
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,76.7
Vietnam,VNM,71.014
Vanuatu,VUT,69.931
West Bank and Gaza,PSE,70.965
World,WLD,69.39583895
Samoa,WSM,70.405
"Yemen, Rep.",YEM,62.486
South Africa,ZAF,55.167
"Congo, Dem. Rep.",COD,57.247
Zambia,ZMB,58.229
Zimbabwe,ZWE,56.171
